hidden_layers,fusion_dim,dropout,lr,weight_decay,f1_score
1,64,0.3,0.0005,0.001,0.8559386017569821
1,256,0.5,0.001,0.0001,0.8549491289229891
1,64,0.5,0.001,0.0001,0.8540409537562326
2,256,0.5,0.0005,0.0001,0.8539372027323937
2,128,0.5,0.001,0.0001,0.8539336256598148
2,64,0.5,0.0005,0.001,0.853160460575031
1,128,0.5,0.001,0.001,0.8528258171485577
2,64,0.3,0.0005,0.001,0.8527027581911313
1,64,0.3,0.0005,0.0001,0.8519865108231143
2,256,0.5,0.001,0.0001,0.8517867564922268
2,64,0.5,0.0005,0.0001,0.8514243054317344
1,256,0.3,0.0005,0.001,0.8510555998524796
2,64,0.5,0.001,0.001,0.8507652565205893
2,128,0.3,0.001,0.0001,0.8499212677634069
2,256,0.3,0.0005,0.0001,0.8498493143030798
2,128,0.3,0.0005,0.0001,0.8497952892035684
2,64,0.5,0.001,0.0001,0.8492728766979993
2,256,0.5,0.0005,0.001,0.8491735400522231
1,64,0.3,0.001,0.0001,0.8480872140225066
2,128,0.5,0.0005,0.001,0.8480535634044643
2,64,0.3,0.0005,0.0001,0.8473760298993372
1,64,0.5,0.0005,0.0001,0.846304845260842
1,128,0.5,0.0005,0.0001,0.8461451839690117
1,256,0.5,0.0005,0.0001,0.8457016315758796
1,256,0.3,0.0005,0.0001,0.8455016485940796
1,256,0.5,0.0005,0.001,0.8452309137610371
2,128,0.3,0.0005,0.001,0.8451920393742183
1,64,0.5,0.0005,0.001,0.8451162605498295
2,64,0.3,0.001,0.001,0.8450619212079188
1,128,0.3,0.001,0.001,0.8429666746900045
1,128,0.5,0.0005,0.001,0.8429084493367596
1,256,0.5,0.001,0.001,0.8423894554042786
1,64,0.5,0.001,0.001,0.8421812549748836
1,128,0.3,0.0005,0.001,0.8413681155009453
1,256,0.3,0.001,0.0001,0.8408635607378379
1,256,0.3,0.001,0.001,0.8406435084704753
2,64,0.3,0.001,0.0001,0.8391573505725123
2,128,0.5,0.001,0.001,0.8382993585404304
2,128,0.5,0.0005,0.0001,0.8382111196516624
1,128,0.3,0.001,0.0001,0.8361177108274893
1,128,0.5,0.001,0.0001,0.835459933398182
2,128,0.3,0.001,0.001,0.8348912512027177
2,256,0.3,0.0005,0.001,0.8344398428609727
2,256,0.5,0.001,0.001,0.8334098420577851
2,256,0.3,0.001,0.0001,0.8329118031689452
1,128,0.3,0.0005,0.0001,0.8322132775036112
2,256,0.3,0.001,0.001,0.8285995359655244
1,64,0.3,0.001,0.001,0.8190875347527091
